Date,pred,P/L
20190613,-9.494979905298193,-105.0
20190614,-17.788964370449914,-140.0
20190617,-14.584162904095884,-85.0
20190618,-12.970075697653803,-90.0
20190619,-0.1368598572780355,-105.0
20190620,-31.07843569119941,-60.0
20190621,-14.583689965177603,-120.0
20190624,-19.875986572249413,33.0
20190625,-23.1608356217416,-72.0
20190626,-15.985712361778305,110.0
20190627,-13.832449115213036,145.0
20190628,-19.932548715027927,-109.0
20190701,9.10913210734648,-232.0
20190702,-18.54851756353218,-160.0
20190703,-14.766094517599212,-150.0
20190704,-56.28865083400986,-195.0
20190705,-12.21079494614123,-160.0
20190708,-13.172481843294728,-200.0
20190709,-17.592135358706628,55.0
20190710,-16.65836950848374,-55.0
20190711,-35.37357287994427,-115.0
20190712,-16.340135088434728,-35.0
20190716,-16.599123524888597,-25.0
20190717,-11.201724317804787,85.0
20190718,3.6434673597100993,35.0
20190719,-8.717967729528766,304.99
20190722,-13.575623217858027,79.0
20190723,6.20337175297921,-25.0
20190724,-17.095609466382104,-55.0
20190725,-13.68493617983643,233.0
20190726,-10.993818315109152,454.0
20190729,-11.199214122791787,541.0
20190730,-10.761210914765458,541.0
20190731,72.10371409053303,295.0
20190801,45.23588511044275,655.0
20190802,19.680508787787026,235.0
20190805,35.7610025658669,250.0
20190806,7.177437484045536,-180.0
20190807,-28.703764098401173,-140.0
20190808,-41.37667136122143,-155.0
20190809,-50.23002828026273,-180.0
20190813,-9.713774461838051,-190.0
20190814,-54.10055268254598,-200.0
20190815,20.86561248093279,-195.0
20190816,27.987707215587168,-215.0
20190819,16.22949358279019,-200.0
20190820,-63.444028182019196,-150.0
20190821,-42.468594569517975,-130.0
20190822,-32.277068938904186,-105.0
20190823,-20.297112755943864,-110.0
20190826,-1.357247711807477,-190.0
20190827,39.866113459305375,-205.0
20190828,25.83461684987423,136.0
20190829,18.07438497784684,167.0
20190830,-33.242565130467966,113.0
20190902,-62.40063324842199,128.0
20190903,-50.37986777811064,188.0
20190904,-35.592969060274235,80.0
20190905,26.090816607227747,55.0
20190906,5.909883177343831,30.0
20190909,-16.23164419343284,95.0
20190910,-33.80655421060326,135.0
20190911,50.857082120924744,100.0
20190912,-6.87306618219995,-65.0
20190913,124.86773872393539,-105.0
20190917,-36.27831307096641,-120.0
20190918,-8.435921661148404,-100.0
20190919,39.92275195249718,-95.0
20190920,-48.41921515782546,-116.0
20190925,-1.5492692644549333,125.0
20190926,-22.745092474226126,503.56
20190927,36.39011185699345,92.0
20190930,99.61169744921068,-191.0
20191001,39.14478315365621,154.0
20191002,17.138106743784405,-85.0
20191003,17.7980730941219,-50.0
20191004,37.262422586129595,216.93
20191007,34.48010706505505,100.0
20191008,-23.867602846828284,125.0
20191009,10.214091731053555,202.93
20191010,1.3210040261692804,120.0
20191011,54.80204672626825,171.0
20191015,91.5534750435025,10.0
20191016,-20.921189837265658,-90.0
20191017,65.16642721640571,-71.0
20191018,-44.21349376567734,-5.0
20191021,-47.53028194742995,-63.0
20191023,-13.166896086048515,-86.0
20191024,-35.070431366784454,-205.0
20191025,23.719111377185,14.0
20191028,-9.199169335101576,65.0
20191029,14.211152095085204,-30.0
20191030,91.70654876717136,45.0
20191101,118.92849928120404,170.0
20191105,154.8051235593596,-15.0
20191106,87.1380707353889,-65.0
20191107,95.79179700391116,-100.0
20191108,92.53416678149227,-130.0
20191111,45.099498580468236,-125.0
20191112,20.94066748544101,-105.0
20191113,38.01639835792008,83.0
20191114,165.73507913424393,-55.0
20191115,170.75195556334566,-105.0
20191118,131.81048612871083,-100.0
20191119,72.67630089284236,-100.0
20191120,39.2746146591206,-45.0
20191121,27.987958730649368,-110.0
20191122,9.347714436933755,46.0
20191125,-1.303589638957562,-115.0
20191126,10.291972010954659,36.0
20191127,47.73145845411008,-90.0
20191128,-8.253082502861242,-95.0
20191129,23.861284729745435,-120.0
20191202,-4.272112275441177,-160.0
20191203,55.82537420012066,-202.0
20191204,26.16277997940164,-10.0
20191205,41.06920821653977,230.0
20191206,23.691676241938325,5.0
20191209,50.4256277106709,-25.0
20191210,50.4256277106709,55.0
20191211,13.849139043231158,65.0
20191212,40.62693427261101,-5.0
20191213,4.562295131485834,-200.0
20191216,-5.3922065194739375,-125.0
20191217,-2.7052577182950683,-27.0
20191218,-1.1100246019438522,-105.0
20191219,-7.423187318568691,-110.0
20191220,17.475731098940354,-85.0
20191223,22.57437645036083,271.0
20191224,35.935127712128,81.0
20191225,21.282570400496375,163.0
20191226,-3.068653573382675,40.0
20191227,-20.073262834114768,170.0
20191230,41.75858068492137,55.0
20200106,35.01273051255522,114.71
20200107,15.89481055723227,139.71
20200108,15.89481055723227,35.0
20200109,24.0020774900796,10.0
20200110,-1.2522039263530265,-175.0
20200114,-1.1566490585052742,-150.0
20200115,-3.7482289544538983,-115.0
20200116,-1.2736685850974598,-115.0
